marca,modelo,versao,ano_modelo,ano_fabricacao,preco,preco_anterior,aceita_troca,financiamento_disponivel,quilometragem,cor,combustivel,cambio,motor,portas,final_placa,opcionais,imagem_principal,imagens_galeria,descricao,observacoes,disponivel,destaque,oferta_especial,codigo_fipe,valor_fipe,cidade,estado,loja,codigo_interno,sku
Toyota,Hilux,SRV 2.8 Diesel 4x4 AT,2023,2023,279900,295000,1,1,42000,Branco Pérola,Diesel,Automático,2.8,4,5,"Central Toyota Play|Ar tri-zone|Bancos em couro|Câmera 360|Sensor de ponto cego|Controle 4x4|Diferencial blocante|TSS Toyota Safety Sense|Faróis full LED",https://i.imgur.com/7wNqK5m.jpg,https://i.imgur.com/7wNqK5m.jpg|https://i.imgur.com/6uZrO7n.jpg|https://i.imgur.com/5tYqN8k.jpg,Toyota Hilux SRV 2023 top de linha. Picape premium diesel. Segundo dono. Revisões Toyota. Capota marítima inclusa.,Garantia estendida disponível. Aceita troca.,1,1,0,007123-9,289000,Manaus,AM,Toyota Premium Norte,HIL2023001,SKU-HIL-011
Volkswagen,Nivus,Highline 1.0 TSI AT,2024,2024,129900,138000,1,1,9500,Cinza Moonstone,Flex,Automático,1.0 TSI,4,7,"VW Play 10.1|Ar digital|Teto solar|Volante aquecido|Carregador wireless|Sensor 360|Câmera HD|Controle de cruzeiro adaptativo|LED matrix",https://i.imgur.com/6uZrO2m.jpg,https://i.imgur.com/6uZrO2m.jpg|https://i.imgur.com/5tYqN4k.jpg|https://i.imgur.com/4sXpL6n.jpg,VW Nivus Highline 2024 SUV coupé. Design moderno e tecnologia VW. Único dono. Baixíssima km. Estado de zero.,Garantia total 3 anos. Aceita financiamento em até 80x.,1,1,1,005789-3,135000,Campinas,SP,VW Campinas Motors,NIV2024001,SKU-NIV-012
Chevrolet,Tracker,Premier 1.2 Turbo AT,2024,2024,149900,159000,1,1,6200,Vermelho Cherry,Flex,Automático,1.2 Turbo,4,9,"MyLink Plus 10|Ar tri-zone|Teto panorâmico|Carregador wireless|Sensor 360|Câmera HD|Piloto adaptativo|Alerta de colisão|Reconhecimento de placas",https://i.imgur.com/5tYqN7m.jpg,https://i.imgur.com/5tYqN7m.jpg|https://i.imgur.com/4sXpL9k.jpg|https://i.imgur.com/3vWqM2n.jpg,Chevrolet Tracker Premier 2024 SUV médio. Tecnologia e espaço. Primeira dona. Todas revisões. Sem um arranhão.,IPVA 2025 quitado. Primeira parcela 90 dias.,1,1,0,005934-6,156000,Florianópolis,SC,Chevrolet Premium Sul,TRK2024001,SKU-TRK-013
Hyundai,Creta,Ultimate 2.0 AT,2023,2023,159900,172000,1,1,19000,Preto Abyss,Flex,Automático,2.0,4,3,"Bluelink 10.25|Painel digital|Ar tri-zone|Teto panorâmico|Bancos ventilados|Sensor 360|Câmera surround|ADAS Hyundai SmartSense|Partida remota",https://i.imgur.com/4sXpL3m.jpg,https://i.imgur.com/4sXpL3m.jpg|https://i.imgur.com/3vWqM5n.jpg|https://i.imgur.com/2uTpN7k.jpg,Hyundai Creta Ultimate 2023 topo de linha. SUV completo e conectado. Único dono. Revisões Hyundai. Impecável.,Aceita troca com troco. Financia até 72 meses.,1,1,0,006345-1,167000,Belém,PA,Hyundai Premium Norte,CRT2023001,SKU-CRT-014
Jeep,Renegade,Longitude 1.8 Flex AT,2023,2023,129900,138000,1,1,24000,Branco Alpine,Flex,Automático,1.8,4,6,"UConnect 8.4|Ar-condicionado|Câmera de ré|Sensor|Controle de tração|Faróis de neblina|Rodas 17|Porta-malas amplo|Teto Solar",https://i.imgur.com/3vWqM8n.jpg,https://i.imgur.com/3vWqM8n.jpg|https://i.imgur.com/2uTpN9k.jpg|https://i.imgur.com/1sRoK4m.jpg,Jeep Renegade Longitude 2023. SUV ágil e robusto. Segundo dono. Revisões Jeep. Pneus novos. Pronto para aventuras.,Aceita propostas. Financiamento aprovado em 24h.,1,0,1,005678-4,135000,Vitória,ES,Jeep Premium ES,REN2023001,SKU-REN-015
Fiat,Pulse,Audace 1.0 Turbo AT,2024,2024,119900,127000,1,1,4800,Azul Magnetico,Flex,Automático,1.0 Turbo,4,1,"Uconnect 10.1|Ar digital|Cluster digital 7|Carregador wireless|Sensor de ré|Câmera|Controle de cruzeiro|Faróis full LED|Modo Sport",https://i.imgur.com/2uTpN5k.jpg,https://i.imgur.com/2uTpN5k.jpg|https://i.imgur.com/1sRoK7m.jpg|https://i.imgur.com/9yLpM8n.jpg,Fiat Pulse Audace 2024 SUV compacto. Esportivo e moderno. Único dono. Baixa km. Garantia de fábrica total.,Entrada facilitada. Aceita veículo na troca.,1,1,0,006123-7,124000,Natal,RN,Fiat Premium Nordeste,PUL2024001,SKU-PUL-016
Renault,Duster,Iconic 1.3 Turbo CVT,2024,2024,139900,148000,1,1,5600,Verde Intenso,Flex,Automático CVT,1.3 Turbo,4,2,"Media Evolution 8|Ar-condicionado automático|Câmera 360|Sensor de ponto cego|Teto solar panorâmico|Controle 4x2|Faróis full LED|Rodas 17 diamantadas",https://i.imgur.com/1sRoK9m.jpg,https://i.imgur.com/1sRoK9m.jpg|https://i.imgur.com/9yLpM3k.jpg|https://i.imgur.com/8xKqJ5n.jpg,Renault Duster Iconic 2024 SUV aventureiro. Espaçoso e econômico. Primeira dona. Todas revisões. Estado impecável.,Garantia 3 anos. Aceita moto ou carro na troca.,1,1,1,006789-2,145000,João Pessoa,PB,Renault Nordeste Premium,DUS2024001,SKU-DUS-017
Nissan,Versa,Exclusive 1.6 CVT,2024,2024,109900,118000,1,1,3200,Prata Brilliant,Flex,Automático CVT,1.6,4,8,"Central 8 polegadas|Ar-condicionado digital|Bancos em couro|Câmera de ré|Sensor traseiro|Controle de cruzeiro|Volante multifuncional|Porta-malas 500L",https://i.imgur.com/9yLpM7k.jpg,https://i.imgur.com/9yLpM7k.jpg|https://i.imgur.com/8xKqJ2m.jpg|https://i.imgur.com/7wNqK4n.jpg,Nissan Versa Exclusive 2024 sedã espaçoso. Conforto e economia. Único dono. Revisão feita. Porta-malas gigante 500 litros.,Zero entrada. Parcelas de R$ 1.699 em 60x.,1,0,0,004567-9,114000,Cuiabá,MT,Nissan Centro-Oeste,VER2024001,SKU-VER-018
Peugeot,2008,Griffe 1.6 AT,2023,2023,119900,129000,1,1,17500,Cinza Grafite,Flex,Automático,1.6,4,7,"i-Cockpit 10|Ar-condicionado digital|Bancos Alcantara|Câmera HD|Sensor 360|Teto panorâmico|Controle de tração|Faróis LED|Grip Control",https://i.imgur.com/8xKqJ6m.jpg,https://i.imgur.com/8xKqJ6m.jpg|https://i.imgur.com/7wNqK8n.jpg|https://i.imgur.com/6uZrO9k.jpg,Peugeot 2008 Griffe 2023 SUV francês. Design diferenciado e i-Cockpit. Segundo dono. Revisões Peugeot. Impecável.,Aceita troca com ou sem troco. Financia 100%.,1,0,0,005234-8,126000,Aracaju,SE,Peugeot Premium Sergipe,208S2023001,SKU-208-019
Volkswagen,Polo,Highline 1.0 TSI AT,2024,2024,109900,117000,1,1,6800,Azul Biscay,Flex,Automático,1.0 TSI,4,5,"VW Play 10.1|Ar digital|App Connect|Carregador USB-C|Sensor de ré|Câmera|Controle de cruzeiro|Faróis LED DRL|Rodas 16 diamantadas",https://i.imgur.com/7wNqK9m.jpg,https://i.imgur.com/7wNqK9m.jpg|https://i.imgur.com/6uZrO2k.jpg|https://i.imgur.com/5tYqN5n.jpg,VW Polo Highline 2024 hatch premium. Elegante e econômico. Único dono. Baixa km. Garantia de fábrica até 2027.,Aceita financiamento FGTS. Primeira parcela 60 dias.,1,1,0,004678-2,114000,Maceió,AL,VW Premium Alagoas,POL2024001,SKU-POL-020
