nome,descricao,categoria,subcategoria,marca,preco,estoque,sku,aplicacao,palavras_chave
Filtro de Ar Tecfil ARL6096,Filtro de ar para Hyundai HB20 Creta,Filtros,Linha Leve,Tecfil,42.90,50,TEC-ARL6096,Carro e SUV,filtro ar tecfil hyundai hb20 creta
Filtro de Ar Tecfil ARL5811,Filtro de ar para Toyota Corolla Hilux,Filtros,Linha Leve,Tecfil,45.00,45,TEC-ARL5811,Carro e SUV,filtro ar tecfil toyota corolla hilux
Filtro de Combustível Mann WK730/1,Filtro de combustível para VW,Filtros,Linha Leve,Mann,35.90,55,MANN-WK730,Carro e SUV,filtro combustivel gasolina mann vw
Filtro de Cabine Mann CU2545,Filtro de ar condicionado VW Polo Virtus,Filtros,Linha Leve,Mann,58.90,35,MANN-CU2545,Carro e SUV,filtro cabine ar condicionado mann vw polo
Filtro de Cabine Tecfil ACP305,Filtro de ar condicionado Fiat Argo Cronos,Filtros,Linha Leve,Tecfil,48.90,40,TEC-ACP305,Carro e SUV,filtro cabine ar condicionado tecfil fiat argo
Filtro de Óleo Fleetguard LF3970,Filtro de óleo para Cummins ISB,Filtros,Linha Pesada,Fleetguard,78.90,30,FG-LF3970,Caminhão,filtro oleo fleetguard cummins isb caminhao
Filtro Diesel Fleetguard FF5052,Filtro de combustível diesel Volvo Scania,Filtros,Linha Pesada,Fleetguard,89.90,25,FG-FF5052,Caminhão,filtro diesel fleetguard volvo scania caminhao
Filtro Diesel Fleetguard FS19551,Filtro separador de água diesel,Filtros,Linha Pesada,Fleetguard,125.90,20,FG-FS19551,Caminhão,filtro separador agua diesel fleetguard caminhao
Filtro de Ar Donaldson P181137,Filtro de ar primário para caminhões,Filtros,Linha Pesada,Donaldson,158.90,18,DON-P181137,Caminhão,filtro ar primario donaldson caminhao pesado
Filtro de Ar Donaldson P119375,Filtro de ar secundário para caminhões,Filtros,Linha Pesada,Donaldson,98.90,22,DON-P119375,Caminhão,filtro ar secundario donaldson caminhao
Filtro Hidráulico Donaldson P173238,Filtro para sistemas hidráulicos,Filtros,Linha Industrial,Donaldson,189.90,15,DON-P173238,Máquinas Pesadas,filtro hidraulico donaldson retroescavadeira pa carregadeira
Filtro de Óleo Donaldson P550162,Filtro de óleo para tratores e máquinas,Filtros,Linha Agrícola,Donaldson,68.90,25,DON-P550162,Máquinas Pesadas,filtro oleo donaldson trator maquina agricola
Militec-1 200ml,Condicionador de metais para motor e câmbio,Aditivos,Condicionadores,Militec,89.00,60,MIL-200ML,Carro e SUV,militec condicionador metais motor cambio
Militec-1 40ml,Condicionador de metais para motos,Aditivos,Condicionadores,Militec,42.00,80,MIL-40ML,Moto,militec moto condicionador metais 40ml
Aditivo Combustível Flex 500ml,Aditivo limpador de bicos injetores,Aditivos,Combustível,Tecbril,28.90,70,TBR-ADIT-500,Carro e SUV,aditivo combustivel limpador bico injetor tecbril
Aditivo Radiador Stop Leak 300ml,Aditivo para vedar vazamentos no radiador,Aditivos,Radiador,Tecbril,22.90,55,TBR-STOPLEAK,Carro e SUV,aditivo radiador stop leak vazamento tecbril
Limpador de Parabrisa 500ml,Limpador concentrado para parabrisa,Limpeza Automotiva,Parabrisa,Tecbril,12.90,120,TBR-LIMP-500,Carro e SUV,limpador parabrisa concentrado tecbril
Limpador de Parabrisa 5L,Limpador pronto uso galão,Limpeza Automotiva,Parabrisa,Tecbril,35.90,40,TBR-LIMP-5L,Carro e SUV,limpador parabrisa pronto uso galao tecbril
Silicone Líquido 500ml,Silicone para borrachas e plásticos,Limpeza Automotiva,Conservação,Tecbril,18.90,85,TBR-SILIC-500,Carro e SUV,silicone liquido borracha plastico tecbril
Silicone Spray 300ml,Silicone em spray multiuso,Limpeza Automotiva,Conservação,Tecbril,24.90,75,TBR-SILIC-SPRAY,Carro e SUV,silicone spray multiuso tecbril
Limpa Ar Condicionado 250ml,Higienizador de ar condicionado automotivo,Limpeza Automotiva,Ar Condicionado,Tecbril,32.90,50,TBR-LIMPA-AC,Carro e SUV,limpa ar condicionado higienizador tecbril
Desengripante WD 300ml,Desengripante lubrificante multiuso,Limpeza Automotiva,Lubrificantes,Tecbril,28.90,65,TBR-WD-300,Carro e SUV,desengripante wd lubrificante multiuso tecbril
Câmara de Ar Aro 17,Câmara de ar para moto 110/80-17,Câmaras de Ar,Moto,Levorin,32.00,50,LEV-CAM-17,Moto,camara ar moto aro 17 levorin
Câmara de Ar Aro 18,Câmara de ar para moto 90/90-18,Câmaras de Ar,Moto,Levorin,35.00,45,LEV-CAM-18,Moto,camara ar moto aro 18 levorin
Câmara de Ar Aro 19,Câmara de ar para moto 90/90-19,Câmaras de Ar,Moto,Levorin,38.00,40,LEV-CAM-19,Moto,camara ar moto aro 19 levorin trail
