nome,descricao,categoria,subcategoria,marca,preco,estoque,sku,aplicacao
Tinta Acrilica Anjo Marfim 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Marfim, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Anjo,13.21,98,ACR-ANJ-MAR-900ml-10,Paredes Internas e Externas
Tinta Acrilica Dacar Areia 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Areia, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,348.55,76,ACR-DAC-ARE-18L-11,Paredes Internas e Externas
Tinta Acrilica Anjo Marfim 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Marfim, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Anjo,20.28,127,ACR-ANJ-MAR-900ml-12,Paredes Internas e Externas
Tinta Acrilica Sherwin-Williams Rosa Antigo 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Rosa Antigo, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,19.4,135,ACR-SHE-ROS-900ml-13,Paredes Internas e Externas
Tinta Acrilica Sherwin-Williams Cinza Escuro 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Cinza Escuro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,17.25,55,ACR-SHE-CIN-900ml-14,Paredes Internas e Externas
Tinta Acrilica Eucatex Laranja 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Laranja, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,332.08,135,ACR-EUC-LAR-18L-15,Paredes Internas e Externas
Tinta Acrilica Lukscolor Laranja 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Laranja, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,81.23,26,ACR-LUK-LAR-36L-16,Paredes Internas e Externas
Tinta Acrilica Anjo Grafite 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Grafite, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Anjo,53.83,140,ACR-ANJ-GRA-36L-17,Paredes Internas e Externas
Tinta Acrilica Suvinil Salmao 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Salmao, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,12.9,150,ACR-SUV-SAL-900ml-18,Paredes Internas e Externas
Tinta Acrilica Suvinil Branco Neve 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Branco Neve, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,293.69,96,ACR-SUV-BRA-18L-19,Paredes Internas e Externas
Tinta Acrilica Eucatex Salmao 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Salmao, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,84.24,110,ACR-EUC-SAL-36L-20,Paredes Internas e Externas
Tinta Acrilica Eucatex Rosa Antigo 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Rosa Antigo, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,57.46,95,ACR-EUC-ROS-36L-21,Paredes Internas e Externas
Tinta Acrilica Coral Grafite 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Grafite, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Coral,80.81,83,ACR-COR-GRA-36L-22,Paredes Internas e Externas
Tinta Acrilica Renner Branco 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Branco, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,272.75,84,ACR-REN-BRA-18L-23,Paredes Internas e Externas
Tinta Acrilica Eucatex Preto 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Preto, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,13.35,67,ACR-EUC-PRE-900ml-24,Paredes Internas e Externas
Tinta Acrilica Dacar Verde Menta 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Menta, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,81.0,34,ACR-DAC-VER-36L-25,Paredes Internas e Externas
Tinta Acrilica Suvinil Palha 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Palha, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,70.17,80,ACR-SUV-PAL-36L-26,Paredes Internas e Externas
Tinta Acrilica Coral Bege 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Bege, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Coral,358.66,138,ACR-COR-BEG-18L-27,Paredes Internas e Externas
Tinta Acrilica Lukscolor Azul Marinho 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Azul Marinho, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,15.9,100,ACR-LUK-AZU-900ml-28,Paredes Internas e Externas
Tinta Acrilica Sherwin-Williams Lavanda 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Lavanda, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,11.8,137,ACR-SHE-LAV-900ml-29,Paredes Internas e Externas
Tinta Acrilica Lukscolor Terracota 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Terracota, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,12.75,142,ACR-LUK-TER-900ml-30,Paredes Internas e Externas
Tinta Acrilica Sherwin-Williams Azul Marinho 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Azul Marinho, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,52.92,60,ACR-SHE-AZU-36L-31,Paredes Internas e Externas
Tinta Acrilica Lukscolor Amarelo Canario 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Amarelo Canario, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,49.63,84,ACR-LUK-AMA-36L-32,Paredes Internas e Externas
Tinta Acrilica Eucatex Verde Agua 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Agua, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,253.81,110,ACR-EUC-VER-18L-33,Paredes Internas e Externas
Tinta Acrilica Eucatex Off-White 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Off-White, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,80.15,127,ACR-EUC-OFF-36L-34,Paredes Internas e Externas
Tinta Acrilica Dacar Borgonha 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Borgonha, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,61.56,29,ACR-DAC-BOR-36L-35,Paredes Internas e Externas
Tinta Acrilica Dacar Rosa Claro 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Rosa Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,55.94,28,ACR-DAC-ROS-36L-36,Paredes Internas e Externas
Tinta Acrilica Dacar Azul Celeste 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Azul Celeste, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,15.11,148,ACR-DAC-AZU-900ml-37,Paredes Internas e Externas
Tinta Acrilica Lukscolor Marrom Claro 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Marrom Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,59.48,119,ACR-LUK-MAR-36L-38,Paredes Internas e Externas
Tinta Acrilica Lukscolor Cinza Claro 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Cinza Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,11.43,90,ACR-LUK-CIN-900ml-39,Paredes Internas e Externas
Tinta Acrilica Eucatex Tabaco 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Tabaco, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,20.19,77,ACR-EUC-TAB-900ml-40,Paredes Internas e Externas
Tinta Acrilica Dacar Vinho 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Vinho, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,18.26,50,ACR-DAC-VIN-900ml-41,Paredes Internas e Externas
Tinta Acrilica Suvinil Off-White 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Off-White, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,14.38,89,ACR-SUV-OFF-900ml-42,Paredes Internas e Externas
Tinta Acrilica Dacar Bege 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Bege, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,202.57,114,ACR-DAC-BEG-18L-43,Paredes Internas e Externas
Tinta Acrilica Dacar Verde Folha 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Folha, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,255.9,52,ACR-DAC-VER-18L-44,Paredes Internas e Externas
Tinta Acrilica Suvinil Preto 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Preto, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,82.09,83,ACR-SUV-PRE-36L-45,Paredes Internas e Externas
Tinta Acrilica Dacar Amarelo Canario 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Amarelo Canario, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,14.46,100,ACR-DAC-AMA-900ml-46,Paredes Internas e Externas
Tinta Acrilica Renner Marrom Claro 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Marrom Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,244.51,150,ACR-REN-MAR-18L-47,Paredes Internas e Externas
Tinta Acrilica Dacar Preto 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Preto, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,218.54,86,ACR-DAC-PRE-18L-48,Paredes Internas e Externas
Tinta Acrilica Renner Amarelo Canario 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Amarelo Canario, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,12.31,69,ACR-REN-AMA-900ml-49,Paredes Internas e Externas
Tinta Acrilica Sherwin-Williams Grafite 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Grafite, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,82.24,35,ACR-SHE-GRA-36L-50,Paredes Internas e Externas
Tinta Acrilica Lukscolor Roxo 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Roxo, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,13.48,106,ACR-LUK-ROX-900ml-51,Paredes Internas e Externas
Tinta Acrilica Coral Terracota 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Terracota, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Coral,12.89,97,ACR-COR-TER-900ml-52,Paredes Internas e Externas
Tinta Acrilica Suvinil Mostarda 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Mostarda, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,19.7,110,ACR-SUV-MOS-900ml-53,Paredes Internas e Externas
Tinta Acrilica Suvinil Verde Menta 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Menta, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,210.81,136,ACR-SUV-VER-18L-54,Paredes Internas e Externas
Tinta Acrilica Suvinil Marrom Claro 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Marrom Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,75.66,86,ACR-SUV-MAR-36L-55,Paredes Internas e Externas
Tinta Acrilica Eucatex Borgonha 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Borgonha, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,76.63,34,ACR-EUC-BOR-36L-56,Paredes Internas e Externas
Tinta Acrilica Dacar Azul Claro 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Azul Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,67.33,66,ACR-DAC-AZU-36L-57,Paredes Internas e Externas
Tinta Acrilica Coral Rosa Antigo 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Rosa Antigo, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Coral,318.36,54,ACR-COR-ROS-18L-58,Paredes Internas e Externas
Tinta Acrilica Eucatex Marfim 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Marfim, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,300.12,84,ACR-EUC-MAR-18L-59,Paredes Internas e Externas
Tinta Acrilica Renner Cinza Escuro 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Cinza Escuro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,61.67,120,ACR-REN-CIN-36L-60,Paredes Internas e Externas
Tinta Acrilica Coral Chocolate 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Chocolate, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Coral,59.38,106,ACR-COR-CHO-36L-61,Paredes Internas e Externas
Tinta Acrilica Eucatex Salmao 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Salmao, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,239.4,66,ACR-EUC-SAL-18L-62,Paredes Internas e Externas
Tinta Acrilica Suvinil Amarelo 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Amarelo, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,49.36,77,ACR-SUV-AMA-36L-63,Paredes Internas e Externas
Tinta Acrilica Suvinil Azul Claro 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Azul Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,69.13,37,ACR-SUV-AZU-36L-64,Paredes Internas e Externas
Tinta Acrilica Sherwin-Williams Palha 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Palha, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,13.63,86,ACR-SHE-PAL-900ml-65,Paredes Internas e Externas
Tinta Acrilica Renner Grafite 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Grafite, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,59.72,132,ACR-REN-GRA-36L-66,Paredes Internas e Externas
Tinta Acrilica Eucatex Off-White 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Off-White, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,212.27,134,ACR-EUC-OFF-18L-67,Paredes Internas e Externas
Tinta Acrilica Dacar Branco 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Branco, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,14.22,82,ACR-DAC-BRA-900ml-68,Paredes Internas e Externas
Tinta Acrilica Dacar Borgonha 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Borgonha, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,61.8,73,ACR-DAC-BOR-36L-69,Paredes Internas e Externas
Tinta Acrilica Anjo Verde Menta 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Menta, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Anjo,16.45,146,ACR-ANJ-VER-900ml-70,Paredes Internas e Externas
Tinta Acrilica Renner Preto 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Preto, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,74.51,138,ACR-REN-PRE-36L-71,Paredes Internas e Externas
Tinta Acrilica Lukscolor Bege 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Bege, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,279.36,116,ACR-LUK-BEG-18L-72,Paredes Internas e Externas
Tinta Acrilica Suvinil Laranja 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Laranja, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,20.08,77,ACR-SUV-LAR-900ml-73,Paredes Internas e Externas
Tinta Acrilica Anjo Azul Celeste 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Azul Celeste, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Anjo,355.54,72,ACR-ANJ-AZU-18L-74,Paredes Internas e Externas
Tinta Acrilica Renner Vinho 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Vinho, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,213.12,102,ACR-REN-VIN-18L-75,Paredes Internas e Externas
Tinta Acrilica Renner Marfim 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Marfim, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,218.15,79,ACR-REN-MAR-18L-76,Paredes Internas e Externas
Tinta Acrilica Suvinil Borgonha 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Borgonha, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,84.86,118,ACR-SUV-BOR-36L-77,Paredes Internas e Externas
Tinta Acrilica Dacar Areia 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Areia, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,64.78,90,ACR-DAC-ARE-36L-78,Paredes Internas e Externas
Tinta Acrilica Lukscolor Areia 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Areia, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,73.61,133,ACR-LUK-ARE-36L-79,Paredes Internas e Externas
Tinta Acrilica Anjo Laranja 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Laranja, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Anjo,52.44,68,ACR-ANJ-LAR-36L-80,Paredes Internas e Externas
Tinta Acrilica Lukscolor Preto 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Preto, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,19.64,85,ACR-LUK-PRE-900ml-81,Paredes Internas e Externas
Tinta Acrilica Eucatex Salmao 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Salmao, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,51.96,109,ACR-EUC-SAL-36L-82,Paredes Internas e Externas
Tinta Acrilica Renner Borgonha 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Borgonha, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,50.98,138,ACR-REN-BOR-36L-83,Paredes Internas e Externas
Tinta Acrilica Coral Grafite 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Grafite, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Coral,15.5,120,ACR-COR-GRA-900ml-84,Paredes Internas e Externas
Tinta Acrilica Eucatex Marrom Claro 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Marrom Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,320.31,90,ACR-EUC-MAR-18L-85,Paredes Internas e Externas
Tinta Acrilica Suvinil Verde Claro 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,67.67,112,ACR-SUV-VER-36L-86,Paredes Internas e Externas
Tinta Acrilica Coral Off-White 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Off-White, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Coral,19.56,105,ACR-COR-OFF-900ml-87,Paredes Internas e Externas
Tinta Acrilica Renner Laranja 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Laranja, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,14.19,62,ACR-REN-LAR-900ml-88,Paredes Internas e Externas
Tinta Acrilica Dacar Verde Menta 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Menta, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Dacar,269.55,87,ACR-DAC-VER-18L-89,Paredes Internas e Externas
Tinta Acrilica Suvinil Azul Celeste 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Azul Celeste, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,361.44,92,ACR-SUV-AZU-18L-90,Paredes Internas e Externas
Tinta Acrilica Anjo Palha 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Palha, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Anjo,224.11,89,ACR-ANJ-PAL-18L-91,Paredes Internas e Externas
Tinta Acrilica Lukscolor Chocolate 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Chocolate, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,364.3,89,ACR-LUK-CHO-18L-92,Paredes Internas e Externas
Tinta Acrilica Renner Off-White 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Off-White, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,69.83,137,ACR-REN-OFF-36L-93,Paredes Internas e Externas
Tinta Acrilica Renner Tabaco 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Tabaco, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,51.05,107,ACR-REN-TAB-36L-94,Paredes Internas e Externas
Tinta Acrilica Renner Palha 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Palha, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,13.37,116,ACR-REN-PAL-900ml-95,Paredes Internas e Externas
Tinta Acrilica Sherwin-Williams Verde Claro 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,83.08,89,ACR-SHE-VER-36L-96,Paredes Internas e Externas
Tinta Acrilica Anjo Roxo 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Roxo, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Anjo,81.22,90,ACR-ANJ-ROX-36L-97,Paredes Internas e Externas
Tinta Acrilica Anjo Verde Menta 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Menta, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Anjo,206.62,132,ACR-ANJ-VER-18L-98,Paredes Internas e Externas
Tinta Acrilica Coral Amarelo Canario 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Amarelo Canario, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Coral,228.01,50,ACR-COR-AMA-18L-99,Paredes Internas e Externas
Tinta Acrilica Renner Verde Agua 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Agua, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,316.76,58,ACR-REN-VER-18L-100,Paredes Internas e Externas
Tinta Acrilica Eucatex Rosa Claro 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Rosa Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,60.05,140,ACR-EUC-ROS-36L-101,Paredes Internas e Externas
Tinta Acrilica Suvinil Borgonha 3.6L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Borgonha, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,62.47,99,ACR-SUV-BOR-36L-102,Paredes Internas e Externas
Tinta Acrilica Lukscolor Grafite 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Grafite, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Lukscolor,21.1,137,ACR-LUK-GRA-900ml-103,Paredes Internas e Externas
Tinta Acrilica Suvinil Branco Neve 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Branco Neve, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Suvinil,20.15,119,ACR-SUV-BRA-900ml-104,Paredes Internas e Externas
Tinta Acrilica Renner Areia 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Areia, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,215.33,67,ACR-REN-ARE-18L-105,Paredes Internas e Externas
Tinta Acrilica Sherwin-Williams Rosa Claro 900ml,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Rosa Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Sherwin-Williams,15.03,93,ACR-SHE-ROS-900ml-106,Paredes Internas e Externas
Tinta Acrilica Renner Cinza Claro 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Cinza Claro, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Renner,342.87,23,ACR-REN-CIN-18L-107,Paredes Internas e Externas
